Dates,1,2,4,5,6,7,8,9,10,11,12
2005 Jan,111474,118939,118923,135281,140028,175323,232422,195620,175838,123815,93982
2005 Feb,110454,117630,120419,136774,141548,173555,231321,196482,176020,121070,93554
2005 Mar,112596,120919,121650,137121,141930,173743,231263,196494,176376,123052,96638
2005 Apr,115579,123118,122183,138634,143202,174294,235367,197998,177112,124088,102739
2005 May,117007,125769,124992,140205,144167,177100,235685,198849,177973,126541,103815
2005 Jun,118615,127557,126353,139707,146219,178067,235899,199220,178555,127477,107989
2005 Jul,121318,128994,127946,141437,147649,179281,237872,200336,180979,130529,110003
2005 Aug,123066,130263,129053,142518,148529,178969,237971,200950,180356,131874,110101
2005 Sep,121255,130291,129295,141382,147680,179366,236916,201181,180846,131307,110188
2005 Oct,121647,129915,129477,142601,147573,178385,234298,199322,180883,131511,109598
2005 Nov,123245,130312,129596,142597,148518,178199,236561,200577,180778,130826,108994
2005 Dec,123089,132554,130416,142296,148914,179512,238377,200784,181798,129673,110714
2006 Jan,123039,130144,130043,140443,147576,178992,239846,201252,181152,129914,109380
2006 Feb,121124,131609,130998,140814,148738,179220,239115,201878,180356,132218,107355
2006 Mar,123786,131139,131602,141418,148994,180623,241380,202726,183672,133581,111484
2006 Apr,126215,135797,134859,145425,150422,183445,245474,205285,185201,134018,116209
2006 May,126767,136328,135180,145116,154180,185049,247591,208458,187087,135043,118876
2006 Jun,129083,138412,136554,146426,153497,185328,251417,209556,189380,138538,120454
2006 Jul,130283,139630,138362,149079,153551,189027,253883,211719,191277,138355,122702
2006 Aug,129962,140071,139890,149752,155921,190703,256704,213017,193535,140227,124427
2006 Sep,131628,141339,140053,148304,156665,190772,257541,214854,193878,140180,126392
2006 Oct,131788,141121,140644,149835,156493,192058,259115,214634,195904,139801,123482
2006 Nov,130774,142273,141286,150106,157410,192726,258814,216507,197357,141553,125396
2006 Dec,134036,143832,143129,151841,158291,194903,264494,219389,198583,142521,127707
2007 Jan,132508,142760,141824,151360,157384,194994,267658,220546,197597,139760,126699
2007 Feb,131175,143625,142084,152008,157787,195405,270780,219879,198960,143455,124280
2007 Mar,132120,143912,142716,152595,158644,197034,273479,221581,201839,141453,129092
2007 Apr,135047,146541,146140,154051,161809,199474,278805,225548,202684,144844,135581
2007 May,135645,147774,147844,154459,162202,201392,282726,230061,205886,145951,138765
2007 Jun,137655,149942,149372,156216,162624,204908,285958,231684,207413,147402,141897
2007 Jul,139400,150382,149681,157902,163918,206815,295694,235796,210108,147245,141815
2007 Aug,138535,151511,149887,159023,165807,208231,297653,236007,211402,150316,143287
2007 Sep,138306,151088,149366,159537,165011,209102,298414,238302,212666,149164,142294
2007 Oct,137946,151346,150233,157562,165390,208926,298559,238845,211641,149825,139547
2007 Nov,138832,150751,149918,157962,164201,209624,297648,238670,211624,148509,141524
2007 Dec,138507,152427,150186,157244,165241,209409,297994,237099,209153,147362,139736
2008 Jan,135418,148289,147225,153065,161758,207691,298596,235300,207936,146364,138388
2008 Feb,135027,146830,146749,153034,162208,205848,295700,231825,203729,144636,137508
2008 Mar,133568,144962,145187,152241,160432,203401,293605,232495,202208,141503,137848
2008 Apr,135960,147411,146226,152448,159743,202149,294346,230863,203157,141804,139328
2008 May,137087,146681,146896,152126,161333,204037,295163,232076,203439,142749,145641
2008 Jun,135464,146137,143970,151545,159656,200939,290100,229212,199568,141876,141555
2008 Jul,132306,143839,143731,150970,156057,200308,290261,227808,198090,137901,139710
2008 Aug,131545,142260,141353,146193,153811,193182,281721,220523,194290,139660,137784
2008 Sep,126926,137890,137625,142592,151810,188408,276487,215167,190686,132625,132420
2008 Oct,124448,136469,135400,140155,148779,183685,266999,209022,186431,133991,133839
2008 Nov,123884,132872,131332,134902,144774,178494,258647,203088,179719,131304,129820
2008 Dec,120275,131533,130032,134826,141893,176835,253881,200350,175280,129403,125767
2009 Jan,118710,127472,125554,131716,139999,175528,253093,194568,173483,125021,124484
2009 Feb,117221,126938,125758,129876,138503,171619,249847,191720,173252,124029,120994
2009 Mar,117079,124654,123833,129915,136966,168263,247264,191156,171666,123104,125727
2009 Apr,118270,127765,126502,130372,137313,170921,245351,193112,171356,125355,126975
2009 May,119532,128224,127197,129878,139243,173914,249991,196756,174181,127350,130699
2009 Jun,120823,128858,128130,133112,139485,173800,253596,199318,177983,125948,132049
2009 Jul,120952,130826,132156,134249,143597,178444,259793,202557,179938,128279,133126
2009 Aug,122676,131723,132277,136342,144704,180570,262076,206729,181846,128768,132658
2009 Sep,123725,132352,132027,136490,144956,182708,267501,209426,184484,129232,131727
2009 Oct,123135,133220,134008,138349,146929,182946,268780,210508,184995,130696,132914
2009 Nov,124131,133662,134226,138539,146230,184531,266837,212153,185919,131131,134183
2009 Dec,125208,135758,135139,140587,148354,185387,270118,211679,186816,132978,133037
2010 Jan,119947,131060,132780,136462,146424,187910,279724,217936,188404,127733,128973
2010 Feb,121984,133089,132740,139602,147484,188039,278753,217339,189126,127958,126524
2010 Mar,123110,131297,132707,137857,146692,188188,280472,216665,188491,130677,128897
2010 Apr,123415,134160,134399,139450,149119,191141,281981,218270,190514,131747,133162
2010 May,122873,134292,134781,141760,149465,191996,281762,220434,192511,132483,132977
2010 Jun,123620,134718,135393,142143,150817,191586,284541,222047,193285,131877,134249
2010 Jul,123348,133975,137281,142973,151124,194838,292772,224554,194617,134036,135444
2010 Aug,126174,135743,136896,144010,150663,194104,290646,224123,196163,132453,133825
2010 Sep,122224,134331,135480,142087,152089,195063,290093,224587,195803,133167,133756
2010 Oct,124799,133166,133059,141097,149193,191946,286131,221298,194165,133140,133750
2010 Nov,120265,131198,131548,139935,149168,191273,282290,219815,191693,127443,131509
2010 Dec,119688,131347,132685,139103,148525,190404,285353,218657,189735,128963,129758
2011 Jan,117111,129892,128975,136418,146490,189424,287983,216680,188992,127771,129746
2011 Feb,116809,128951,130825,137220,144486,187264,285227,217190,187669,127961,125916
2011 Mar,115711,127767,127764,136388,143209,188535,287092,215778,187586,125133,126172
2011 Apr,119438,129500,131790,137100,145562,189403,293993,218178,188251,129222,129848
2011 May,119979,128753,131713,137464,145692,189682,284722,218577,187412,128085,129832
2011 Jun,119671,128484,130288,137793,145807,189105,285906,219162,189494,128270,131209
2011 Jul,117616,130275,131165,140060,146184,191792,295843,222005,191264,128564,133429
2011 Aug,116961,131341,132380,140623,146183,192616,294903,220344,191964,129395,132518
2011 Sep,117236,130472,131546,138920,147655,190805,295358,221239,189499,131017,131949
2011 Oct,116238,129674,129243,137499,144812,190749,292267,218309,189765,127698,129122
2011 Nov,117028,127346,129847,137839,145825,191616,291036,219732,188933,130415,128206
2011 Dec,115328,128039,129614,138723,143628,190795,292284,219371,187426,127397,125924
2012 Jan,113011,125780,126763,136369,145071,191894,294360,217660,189942,127097,125728
2012 Feb,113852,127311,127906,136102,143615,190306,292381,218487,189653,126324,121886
2012 Mar,116622,127820,128570,137025,144779,189084,290379,219094,188079,126231,125412
2012 Apr,116031,128284,128045,138440,144490,192846,299065,223223,190924,128163,125134
2012 May,115601,127459,129642,138251,144126,193690,304081,223509,190367,128349,126455
2012 Jun,117444,129810,130979,139459,147713,193515,306823,224379,191813,129986,128361
2012 Jul,117137,129030,131167,140983,147399,196166,308962,226770,193530,129342,127491
2012 Aug,119749,130137,131781,139793,147401,196204,310043,227861,192032,128860,126734
2012 Sep,118194,129970,130579,139262,147227,195032,308469,228457,191674,127952,125823
2012 Oct,116854,126997,129217,139395,145709,195730,310281,224927,191820,126881,124617
2012 Nov,116777,128922,130287,139511,146988,195007,308540,224563,191426,128452,123166
2012 Dec,114860,127862,129701,138977,147386,194059,313744,225865,187901,127143,122180
2013 Jan,113585,124578,125516,137537,145005,194209,311364,225210,189820,127584,122594
2013 Feb,112008,127100,128099,137599,145470,192418,313550,223861,189236,125702,120180
2013 Mar,115161,126970,127679,138562,145983,196235,312289,225295,190494,126975,121357
2013 Apr,115330,127515,127980,139314,146320,196687,320921,227862,193336,126671,123409
2013 May,115849,128085,130027,141012,147312,195928,322324,228343,192848,128640,125358
2013 Jun,115645,129600,130724,141367,149457,198110,324518,230987,193267,129380,127118
2013 Jul,118564,129713,131471,142534,150343,201279,332988,233752,195066,128501,128421
2013 Aug,120219,131532,131934,144030,151665,202193,335743,234507,196500,130842,129781
2013 Sep,119140,131408,133207,143553,149816,202026,340494,235143,198055,130085,127777
2013 Oct,112868,129085,130967,144444,151179,203714,340045,235311,197254,128089,127413
2013 Nov,116456,130047,131770,143522,151495,202626,343749,237224,197476,130029,128629
2013 Dec,116274,131350,133265,145942,152008,207270,352028,238975,198613,128581,127018
2014 Jan,114531,129790,131526,145261,152152,205792,355830,240961,198252,131603,127007
2014 Feb,114784,131370,133566,146741,151239,207358,357876,241314,198985,132349,125034
2014 Mar,116317,130061,131800,146448,153209,208325,361400,243371,200618,130464,126650
2014 Apr,118315,133616,135527,149319,155245,212541,375337,247105,204087,132656,129596
2014 May,118613,134136,136372,150008,155724,216195,382705,251395,204098,135527,131677
2014 Jun,121217,135870,136406,151454,157736,218023,387182,253441,204781,135019,133444
2014 Jul,121279,136629,138056,152658,158073,221817,398737,257701,209034,135571,135161
2014 Aug,121329,138230,139749,155033,160571,224167,404754,261254,211731,136710,135575
2014 Sep,120251,138050,137813,155263,160011,226243,403670,263171,213432,138218,134807
2014 Oct,118619,137383,138639,154170,159925,227303,402300,263518,212152,136630,135016
2014 Nov,118778,136864,138291,154009,159782,226352,400803,262969,210799,136898,133334
2014 Dec,118798,136688,139199,153904,160267,227176,402898,264217,211576,136904,132669
2015 Jan,117156,136041,136169,153669,158683,228276,402847,264848,212878,136148,134956
2015 Feb,118525,137141,136993,154210,160388,229383,404773,264568,210050,135611,132572
2015 Mar,117578,135261,137740,154728,159293,229497,404706,265090,212109,135231,139792
2015 Apr,121598,137256,138435,155680,161813,231912,410445,268550,214541,137039,134030
2015 May,120610,139668,141654,157709,162631,235052,415817,271147,215498,137553,135678
2015 Jun,122584,139138,141872,158960,164404,236143,419474,275224,217582,138478,136923
2015 Jul,122669,141510,144733,161180,166016,241817,431644,279875,220044,139213,139051
2015 Aug,123621,142463,145313,163208,167862,244547,436152,283369,223210,140651,138564
2015 Sep,123304,142769,144635,162174,167590,247282,439729,284374,224435,140248,138246
2015 Oct,121513,142082,144325,163771,167550,248467,440484,286451,224226,140912,137660
2015 Nov,123032,142829,145036,164460,168871,251802,445485,288507,226490,140974,138475
2015 Dec,123597,142866,145531,165081,169286,252915,450053,291297,226855,141520,136702
2016 Jan,121096,143139,144594,164946,169747,255235,457466,293678,226547,140015,136790
2016 Feb,121085,143009,145064,164383,168691,255450,457759,295613,227523,142712,134625
2016 Mar,122837,141447,143824,165175,169300,259686,464647,300201,233607,141617,136243
2016 Apr,122481,146681,148145,167913,172955,259733,461068,297712,227636,141925,136446
2016 May,124696,147753,148712,168771,174741,264377,467485,301202,231318,144296,138256
2016 Jun,126898,148176,150349,170091,176729,267333,468120,305125,233700,146447,140234
2016 Jul,127710,150341,151334,171782,176943,270678,475530,309069,235665,146353,142294
2016 Aug,126116,150174,151486,172649,178960,271151,471957,309981,236832,145384,140881
2016 Sep,124781,150038,150519,173272,178837,273097,471767,307429,237148,144976,140533
2016 Oct,124213,148332,150358,172479,177065,272589,471008,307992,235617,146658,139631
2016 Nov,124910,149723,151219,173872,179248,273382,470854,307867,237150,146278,140852
2016 Dec,126333,149560,152583,174665,179668,275945,472374,309185,236288,146442,138206
2017 Jan,122055,149371,148916,172959,178494,275049,475619,312895,238829,146395,138356
2017 Feb,124088,150960,150721,175110,179530,277280,476717,310033,239143,145837,136011
2017 Mar,121845,149587,149685,174868,179551,275387,475722,310375,238187,147799,137011
2017 Apr,124942,152112,153308,177983,181433,279537,480152,313552,240384,149916,141270
2017 May,127131,153393,154570,179020,183298,282153,480721,315296,242905,147423,142409
2017 Jun,128147,155070,155728,180248,185181,283664,479448,318455,245041,150203,143580
2017 Jul,127966,156723,156427,183352,187218,287820,488247,320987,249316,151021,147758
2017 Aug,129655,158257,158035,182798,189460,287747,486403,323181,250506,152714,147178
2017 Sep,127500,157678,157854,183771,188193,288328,483712,323134,249300,152881,144832
2017 Oct,129042,157245,157045,183944,188675,288712,481030,322511,251144,154720,145095
2017 Nov,127079,157841,156503,184319,189092,288047,478043,321488,250025,152944,147289
2017 Dec,129465,158547,157798,185305,191110,290728,481242,322630,251286,153404,146078
2018 Jan,124351,155632,155520,185111,188437,289736,481981,322718,253491,153475,148324
2018 Feb,128218,158152,155385,186071,192648,288468,471986,322489,250816,152891,144377